SiteID,Name,PI,Data_Use_Policy,AmeriFlux_BASE_Data,AmeriFlux_FLUXNET_Data,IGBP,IGBP_Description,Koppen,Koppen_Description,MAP,MAT,Country,Latitude,Longitude,Elevation,Years_of_AmeriFlux_BASE_Data,AmeriFlux_BASE_DOI,Years_of_AmeriFlux_FLUXNET_Data,AmeriFlux_FLUXNET_DOI,SiteStart,SiteEnd,BASE_variables_available,FLUXNET_variables_available,Number_of_years,Wetness_Index
CA-LP1,British Columbia - Mountain pine beetle-attacked lodgepole pine stand ,Thomas Andrew Black (andrew.black@ubc.ca),CC-BY-4.0,Yes,Yes,ENF,Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage.,Csa,"Mediterranean: mild with dry, hot summer",570,2,Canada,55.1119,-122.8414,751,"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022",https://doi.org/10.17190/AMF/1660337,"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020",https://doi.org/10.17190/AMF/1832155,2007,,"CO2, FC, G, GPP, H, H2O, LE, LW_IN, LW_OUT, NEE, NETRAD, P, PA, PPFD_IN, PPFD_OUT, RECO, RH, SC, SWC, SW_IN, SW_OUT, TA, TS, T_SONIC, T_SONIC_SIGMA, USTAR, VPD, WD, WS",,14,0.8811
CA-MA1,Manitoba Agricultural Site 1,Brian Amiro (brian_amiro@umanitoba.ca),CC-BY-4.0,Yes,Yes,CRO,"Croplands: Lands covered with temporary crops followed by harvest and a bare soil period (e.g., single and multiple cropping systems). Note that perennial woody crops will be classified as the appropriate forest or shrub land cover type.",Dfb,Warm Summer Continental: significant precipitation in all seasons ,514,2.6,Canada,50.1645,-97.8762,261,"2009, 2010, 2011",https://doi.org/10.17190/AMF/1617701,"2009, 2010, 2011",https://doi.org/10.17190/AMF/2007165,2009,2011,"CO2, FC, G, H, H2O, LE, LW_IN, LW_OUT, NETRAD, PA, PPFD_IN, PPFD_OUT, P_RAIN, RH, SWC, SW_IN, SW_OUT, TA, TS, T_SONIC, USTAR, WD, WS",,3,0.6157
CA-MA2,Manitoba Agricultural Site 2,Brian Amiro (brian_amiro@umanitoba.ca),CC-BY-4.0,Yes,Yes,CRO,"Croplands: Lands covered with temporary crops followed by harvest and a bare soil period (e.g., single and multiple cropping systems). Note that perennial woody crops will be classified as the appropriate forest or shrub land cover type.",Dfb,Warm Summer Continental: significant precipitation in all seasons ,514,2.6,Canada,50.171,-97.8762,261,"2009, 2010, 2011",https://doi.org/10.17190/AMF/1617702,"2009, 2010, 2011",https://doi.org/10.17190/AMF/2007166,2009,2011,"CO2, FC, G, H, H2O, LE, LW_IN, LW_OUT, NETRAD, PA, PPFD_IN, PPFD_OUT, P_RAIN, RH, SWC, SW_IN, SW_OUT, TA, TS, T_SONIC, USTAR, WD, WS",,3,0.6154
CA-MA3,Manitoba Agricultural Site 3,Brian Amiro (brian_amiro@umanitoba.ca),CC-BY-4.0,Yes,Yes,GRA,"Grasslands: Lands with herbaceous types of cover. Tree and shrub cover is less than 10%. Permanent wetlands lands with a permanent mixture of water and herbaceous or woody vegetation. The vegetation can be present in either salt, brackish, or fresh water.",Dfb,Warm Summer Continental: significant precipitation in all seasons ,514,2.6,Canada,50.1774,-97.8686,261,"2009, 2010, 2011",https://doi.org/10.17190/AMF/1617703,"2009, 2010, 2011",https://doi.org/10.17190/AMF/2007167,2009,2011,"CO2, FC, G, H, H2O, LE, LW_IN, LW_OUT, NETRAD, PA, PPFD_IN, PPFD_OUT, P_RAIN, RH, SWC, SW_IN, SW_OUT, TA, TS, T_SONIC, USTAR, WD, WS",,3,0.6167
CA-NS1,UCI-1850 burn site,Mike Goulden (mgoulden@uci.edu),CC-BY-4.0,Yes,Yes,ENF,Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage.,Dfc,"Subarctic: severe winter, no dry season, cool summer",500.29,-2.89,Canada,55.8792,-98.4839,260,"2001, 2002, 2003, 2004, 2005",https://doi.org/10.17190/AMF/1245998,"2001, 2002, 2003, 2004, 2005",https://doi.org/10.17190/AMF/1902824,2002,2005,"CO2, FC, H, H2O, LE, NETRAD, P, PPFD_IN, PPFD_OUT, RH, SWC, SW_IN, SW_OUT, TA, TS, USTAR, VPD, WD, WS",,5,0.7124
CA-NS2,UCI-1930 burn site,Mike Goulden (mgoulden@uci.edu),CC-BY-4.0,Yes,Yes,ENF,Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage.,Dfc,"Subarctic: severe winter, no dry season, cool summer",499.82,-2.88,Canada,55.9058,-98.5247,260,"2001, 2002, 2003, 2004, 2005",https://doi.org/10.17190/AMF/1245999,"2001, 2002, 2003, 2004, 2005",https://doi.org/10.17190/AMF/1902825,2001,2005,"CO2, FC, H, H2O, LE, NETRAD, P, PPFD_IN, PPFD_OUT, RH, SWC, SW_IN, SW_OUT, TA, TS, USTAR, VPD, WD, WS",,5,0.7152
CA-NS3,UCI-1964 burn site,Mike Goulden (mgoulden@uci.edu),CC-BY-4.0,Yes,Yes,ENF,Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage.,Dfc,"Subarctic: severe winter, no dry season, cool summer",502.22,-2.87,Canada,55.9117,-98.3822,260,"2001, 2002, 2003, 2004, 2005",https://doi.org/10.17190/AMF/1246000,"2001, 2002, 2003, 2004, 2005",https://doi.org/10.17190/AMF/1902826,2001,2005,"CO2, FC, H, H2O, LE, NETRAD, P, PPFD_IN, PPFD_OUT, RH, SWC, SW_IN, SW_OUT, TA, TS, USTAR, VPD, WD, WS",,5,0.7206
CA-NS4,UCI-1964 burn site wet,Mike Goulden (mgoulden@uci.edu),CC-BY-4.0,Yes,Yes,ENF,Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage.,Dfc,"Subarctic: severe winter, no dry season, cool summer",502.22,-2.87,Canada,55.9144,-98.3806,260,"2001, 2002, 2003, 2004, 2005",https://doi.org/10.17190/AMF/1246001,"2001, 2002, 2003, 2004, 2005",https://doi.org/10.17190/AMF/1902827,2002,2004,"CO2, FC, H, H2O, LE, NETRAD, P, PPFD_IN, PPFD_OUT, RH, SWC, SW_IN, SW_OUT, TA, TS, USTAR, VPD, WD, WS",,5,0.7206
CA-NS5,UCI-1981 burn site,Mike Goulden (mgoulden@uci.edu),CC-BY-4.0,Yes,Yes,ENF,Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage.,Dfc,"Subarctic: severe winter, no dry season, cool summer",500.34,-2.86,Canada,55.8631,-98.485,260,"2001, 2002, 2003, 2004, 2005",https://doi.org/10.17190/AMF/1246002,"2001, 2002, 2003, 2004, 2005",https://doi.org/10.17190/AMF/1902828,2001,2005,"CO2, FC, H, H2O, LE, NETRAD, P, PPFD_IN, PPFD_OUT, RH, SWC, SW_IN, SW_OUT, TA, TS, USTAR, VPD, WD, WS",,5,0.7135
CA-NS6,UCI-1989 burn site,Mike Goulden (mgoulden@uci.edu),CC-BY-4.0,Yes,Yes,OSH,Open Shrublands: Lands with woody vegetation less than 2 meters tall and with shrub canopy cover between 10-60%. The shrub foliage can be either evergreen or deciduous.,Dfc,"Subarctic: severe winter, no dry season, cool summer",495.37,-3.08,Canada,55.9167,-98.9644,244,"2001, 2002, 2003, 2004, 2005",https://doi.org/10.17190/AMF/1246003,"2001, 2002, 2003, 2004, 2005",https://doi.org/10.17190/AMF/1902829,2001,2005,"CO2, FC, H, H2O, LE, NETRAD, P, PPFD_IN, PPFD_OUT, RH, SWC, SW_IN, SW_OUT, TA, TS, USTAR, VPD, WD, WS",,5,0.7071
CA-NS7,UCI-1998 burn site,Mike Goulden (mgoulden@uci.edu),CC-BY-4.0,Yes,Yes,OSH,Open Shrublands: Lands with woody vegetation less than 2 meters tall and with shrub canopy cover between 10-60%. The shrub foliage can be either evergreen or deciduous.,Dfc,"Subarctic: severe winter, no dry season, cool summer",483.27,-3.52,Canada,56.6358,-99.9483,297,"2001, 2002, 2003, 2004, 2005",https://doi.org/10.17190/AMF/1246004,"2001, 2002, 2003, 2004, 2005",https://doi.org/,2002,2005,"CO2, FC, H, H2O, LE, NETRAD, P, PPFD_IN, PPFD_OUT, RH, SWC, SW_IN, SW_OUT, TA, TS, USTAR, VPD, WD, WS",,5,0.6879
CA-Qfo,"Quebec - Eastern Boreal, Mature Black Spruce",Hank A. Margolis (Hank.Margolis@sbf.ulaval.ca),CC-BY-4.0,Yes,Yes,ENF,Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage.,Dfc,"Subarctic: severe winter, no dry season, cool summer",962.32,-0.36,Canada,49.6925,-74.3421,382,"2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010",https://doi.org/10.17190/AMF/1246829,"2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010",https://doi.org/10.17190/AMF/2006960,2003,,"CO2, FC, G, H, LE, LW_IN, LW_OUT, NEE, NETRAD, P, PA, PPFD_DIF, PPFD_IN, PPFD_OUT, RECO, RH, SC, SH, SLE, SWC, SW_IN, SW_OUT, TA, TS, USTAR, VPD, WD, WS",,8,1.3811
CA-SF1,"Saskatchewan - Western Boreal, forest burned in 1977",Brian Amiro (Brian_Amiro@umanitoba.ca),CC-BY-4.0,Yes,Yes,ENF,Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage.,Dfc,"Subarctic: severe winter, no dry season, cool summer",470,0.4,Canada,54.485,-105.8176,536,"2003, 2004, 2005, 2006",https://doi.org/10.17190/AMF/1246006,"2003, 2004, 2005, 2006",https://doi.org/10.17190/AMF/1902831,2004,2006,"CO2, FC, G, H, H2O, LE, LW_IN, LW_OUT, NEE, NETRAD, PA, PPFD_IN, PPFD_OUT, P_RAIN, RH, SH, SWC, SW_IN, SW_OUT, TA, TS, USTAR, VPD, WD, WS",,4,0.6154
CA-SF2,"Saskatchewan - Western Boreal, forest burned in 1989",Brian Amiro (Brian_Amiro@umanitoba.ca),CC-BY-4.0,Yes,Yes,ENF,Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage.,Dfc,"Subarctic: severe winter, no dry season, cool summer",470,0.4,Canada,54.2539,-105.8775,520,"2001, 2002, 2003, 2004, 2005, 2006",https://doi.org/10.17190/AMF/1246007,"2001, 2002, 2003, 2004, 2005, 2006",https://doi.org/10.17190/AMF/2006961,2001,2005,"CO2, FC, G, H, H2O, LE, LW_IN, LW_OUT, NEE, NETRAD, P, PA, PPFD_IN, PPFD_OUT, RH, SC, SH, SLE, SWC, SW_IN, SW_OUT, TA, TS, USTAR, VPD, WD, WS",,6,0.5926
CA-TP1,Ontario - Turkey Point 2002 Plantation White Pine,M. Altaf Arain (arainm@mcmaster.ca),CC-BY-4.0,Yes,Yes,ENF,Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage.,Dfb,Warm Summer Continental: significant precipitation in all seasons ,1036,8,Canada,42.6609,-80.5595,265,"2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017",https://doi.org/10.17190/AMF/1246009,"2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017",https://doi.org/10.17190/AMF/2006962,2003,,"CO2, FC, G, GPP, H, H2O, LE, NEE, NETRAD, P, PA, PPFD_IN, PPFD_OUT, P_RAIN, RECO, RH, SC, SH, SWC, SW_IN, TA, TS, USTAR, VPD, V_SIGMA, WD, WS, W_SIGMA",,16,0.9861
CA-TP3,Ontario - Turkey Point 1974 Plantation White Pine,M. Altaf Arain (arainm@mcmaster.ca),CC-BY-4.0,Yes,Yes,ENF,Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage.,Dfb,Warm Summer Continental: significant precipitation in all seasons ,1036,8,Canada,42.7068,-80.3483,184,"2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017",https://doi.org/10.17190/AMF/1246011,"2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017",https://doi.org/10.17190/AMF/1881566,2003,,"CO2, FC, G, GPP, H, H2O, LE, NEE, NETRAD, P, PA, PPFD_BC_IN, PPFD_IN, PPFD_OUT, RECO, RH, SC, SH, SWC, SW_IN, TA, TS, USTAR, VPD, V_SIGMA, WD, WS, W_SIGMA",,16,0.9912
CA-TPD,Ontario - Turkey Point Mature Deciduous,M. Altaf Arain (arainm@mcmaster.ca),CC-BY-4.0,Yes,Yes,DBF,Deciduous Broadleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters.  Consists of broadleaf tree communities with an annual cycle of leaf-on and leaf-off periods.,Dfb,Warm Summer Continental: significant precipitation in all seasons ,1036,8,Canada,42.6353,-80.5577,260,"2012, 2013, 2014, 2015, 2016, 2017",https://doi.org/10.17190/AMF/1246152,"2012, 2013, 2014, 2015, 2016, 2017",https://doi.org/10.17190/AMF/1881567,2012,,"CO2, D_SNOW, FC, G, GPP, H, H2O, LE, LW_IN, LW_OUT, NEE, NETRAD, P, PA, PPFD_BC_IN, PPFD_IN, PPFD_OUT, P_RAIN, RECO, RH, SC, SH, SWC, SW_IN, SW_OUT, TA, TS, USTAR, VPD, V_SIGMA, WD, WS, W_SIGMA",,6,0.9906
MX-Tes,"Tesopaco, secondary tropical dry forest",Jaime Garatuza (garatuza@itson.edu.mx),CC-BY-4.0,Yes,Yes,DBF,Deciduous Broadleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters.  Consists of broadleaf tree communities with an annual cycle of leaf-on and leaf-off periods.,Bsh,Steppe: very cold winter,647,24.3,Mexico,27.8446,-109.2977,460,"2004, 2005, 2006, 2007, 2008",https://doi.org/10.17190/AMF/1767832,"2004, 2005, 2006, 2007, 2008, 2009",https://doi.org/10.17190/AMF/1832156,2004,2008,"CO2, FC, G, H, H2O, LE, LW_IN, LW_OUT, PA, P_RAIN, RH, SWC, SW_IN, SW_OUT, TA, T_SONIC, USTAR, VPD, WD, WS",,6,0.3066
US-A32,ARM-SGP Medford hay pasture,Sebastien Biraud (scbiraud@lbl.gov),CC-BY-4.0,Yes,Yes,GRA,"Grasslands: Lands with herbaceous types of cover. Tree and shrub cover is less than 10%. Permanent wetlands lands with a permanent mixture of water and herbaceous or woody vegetation. The vegetation can be present in either salt, brackish, or fresh water.",Cfa,"Humid Subtropical: mild with no dry season, hot summer",889,33.9,USA,36.8193,-97.8198,335,"2015, 2016, 2017",https://doi.org/10.17190/AMF/1436327,"2015, 2016, 2017",https://doi.org/10.17190/AMF/1881568,2015,2017,"ALB, CO2, FC, G, H, H2O, LE, LW_IN, LW_OUT, NDVI, NEE, NETRAD, PA, PPFD_IN, PPFD_OUT, P_RAIN, PRI, RH, SWC, SW_DIF, SW_DIR, SW_IN, SW_OUT, TA, T_CANOPY, TS, T_SONIC, T_SONIC_SIGMA, U_SIGMA, USTAR, V_SIGMA, WD, WS, W_SIGMA, ZL",,3,0.451
US-A74,ARM SGP milo field,Sebastien Biraud (scbiraud@lbl.gov),CC-BY-4.0,Yes,Yes,CRO,"Croplands: Lands covered with temporary crops followed by harvest and a bare soil period (e.g., single and multiple cropping systems). Note that perennial woody crops will be classified as the appropriate forest or shrub land cover type.",Cfa,"Humid Subtropical: mild with no dry season, hot summer",889,33.9,USA,36.8085,-97.5489,337,"2015, 2016, 2017",https://doi.org/10.17190/AMF/1436328,"2016, 2017",https://doi.org/10.17190/AMF/2006963,2016,2017,"ALB, CO2, FC, G, H, H2O, LE, LW_IN, LW_OUT, NDVI, NEE, NETRAD, PA, PPFD_IN, PPFD_OUT, P_RAIN, PRI, RH, SWC, SW_DIF, SW_DIR, SW_IN, SW_OUT, TA, T_CANOPY, TS, T_SONIC, T_SONIC_SIGMA, U_SIGMA, USTAR, V_SIGMA, WD, WS, W_SIGMA, ZL",,2,0.4714
US-ALQ,Allequash Creek Site,Ankur Desai (desai@aos.wisc.edu),CC-BY-4.0,Yes,Yes,WET,"Permanent Wetlands: Lands with a permanent mixture of water and herbaceous or woody vegetation that cover extensive areas. The vegetation can be present in either salt, brackish, or fresh water",Dfb,Warm Summer Continental: significant precipitation in all seasons ,,,USA,46.0308,-89.6067,,"2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023",https://doi.org/10.17190/AMF/1480323,"2015, 2016, 2017, 2018, 2019, 2020, 2021",https://doi.org/10.17190/AMF/2006964,2015,,"CH4, CO2, FC, FCH4, FCH4_SSITC_TEST, FC_SSITC_TEST, FETCH_90, FETCH_MAX, GPP, H, H2O, H_SSITC_TEST, LE, LE_SSITC_TEST, LW_IN, LW_OUT, MO_LENGTH, NEE, NETRAD, P, PA, PPFD_IN, RECO, RH, SC, SCH4, SH, SLE, SW_IN, SW_OUT, TA, TW, U_SIGMA, USTAR, VPD, V_SIGMA, WD, WS, W_SIGMA, WTD",,7,0.908
